order_ref,timestamp_ns,side,shares,stock,price_raw,price_dollars
312,34200001464130,S,300,NVDA,1496317,149.6317
313,34200001472822,B,1000,AMD,1505002,150.5002
314,34200001477447,S,300,META,1507760,150.776
315,34200001477715,S,200,MSFT,1506950,150.695
316,34200001484245,B,1000,TSLA,1514421,151.4421
317,34200001484525,S,1000,AMZN,1488461,148.8461
318,34200001484902,B,1000,MSFT,1503612,150.3612
319,34200001489693,B,100,AAPL,1491144,149.1144
320,34200001496807,S,200,GOOG,1492968,149.2968
321,34200001497179,S,1000,AAPL,1490412,149.0412
322,34200001502876,B,200,NVDA,1493022,149.3022
323,34200001512467,B,100,AAPL,1487007,148.7007
324,34200001517846,B,200,MSFT,1503480,150.348
325,34200001520166,B,200,NVDA,1496845,149.6845
326,34200001522085,B,500,AAPL,1488400,148.84
327,34200001523782,S,100,AAPL,1489519,148.9519
328,34200001526000,B,1000,TSLA,1513220,151.322
329,34200001529362,B,100,AMZN,1488606,148.8606
330,34200001536737,S,100,NVDA,1496606,149.6606
331,34200001537060,S,300,META,1505517,150.5517
332,34200001543407,S,500,TSLA,1516476,151.6476
333,34200001550557,B,300,AAPL,1486786,148.6786
334,34200001550973,B,500,NVDA,1493152,149.3152
335,34200001554500,B,500,AMZN,1489606,148.9606
336,34200001554757,B,100,NVDA,1491697,149.1697
337,34200001564152,B,500,AMD,1504841,150.4841
338,34200001570467,B,300,NVDA,1492609,149.2609
339,34200001574245,S,200,NVDA,1495248,149.5248
340,34200001577635,B,200,NVDA,1493967,149.3967
341,34200001582675,B,300,GOOG,1493265,149.3265
342,34200001582930,S,1000,AMD,1506591,150.6591
343,34200001586160,S,1000,AAPL,1489054,148.9054
344,34200001593684,B,1000,AMZN,1489082,148.9082
345,34200001599276,B,200,META,1503720,150.372
346,34200001609215,B,200,NVDA,1495692,149.5692
347,34200001614988,S,200,MSFT,1504489,150.4489
348,34200001615243,S,1000,GOOG,1492448,149.2448
349,34200001624094,B,100,TSLA,1515161,151.5161
350,34200001630984,S,100,NVDA,1498258,149.8258
351,34200001638531,S,100,GOOG,1492919,149.2919
352,34200001638763,S,100,META,1506141,150.6141
353,34200001646171,S,200,TSLA,1515032,151.5032
354,34200001647573,S,100,AMD,1507068,150.7068
355,34200001654193,S,100,AMD,1507505,150.7505
356,34200001656792,S,1000,AMD,1509160,150.916
357,34200001657067,B,100,AMD,1507870,150.787
358,34200001660690,S,200,GOOG,1491306,149.1306
359,34200001661126,B,100,META,1501209,150.1209
360,34200001669163,B,200,NVDA,1495171,149.5171
361,34200001678959,B,100,NVDA,1497011,149.7011
362,34200001679402,B,1000,MSFT,1503318,150.3318
363,34200001686102,S,500,AMD,1506850,150.685
364,34200001691975,S,100,META,1502537,150.2537
365,34200001695291,B,100,GOOG,1490199,149.0199
366,34200001704264,B,500,NVDA,1495766,149.5766
367,34200001711146,B,1000,MSFT,1501477,150.1477
368,34200001720427,B,500,AAPL,1487470,148.747
369,34200001720816,S,1000,AMD,1505176,150.5176
370,34200001721031,S,200,AAPL,1489206,148.9206
371,34200001726420,S,100,AMZN,1491092,149.1092
372,34200001734385,S,1000,META,1503083,150.3083
373,34200001736810,B,1000,GOOG,1490108,149.0108
374,34200001743554,S,200,AMD,1502393,150.2393
375,34200001753274,B,100,NVDA,1496078,149.6078
376,34200001759068,S,300,AMZN,1491297,149.1297
377,34200001766811,B,100,AMZN,1487495,148.7495
378,34200001773088,S,100,AAPL,1487484,148.7484
379,34200001780234,B,200,TSLA,1513196,151.3196
380,34200001785792,B,500,AMD,1499743,149.9743
381,34200001792661,S,1000,META,1501514,150.1514
382,34200001797131,S,200,GOOG,1491392,149.1392
383,34200001806082,B,100,AMD,1498616,149.8616
384,34200001806417,S,100,META,1504213,150.4213
385,34200001809578,B,500,AAPL,1489171,148.9171
386,34200001814680,B,100,AMZN,1489262,148.9262
387,34200001819516,B,200,GOOG,1487757,148.7757
388,34200001821792,S,100,NVDA,1499013,149.9013
389,34200001829711,B,300,MSFT,1500464,150.0464
390,34200001829863,B,500,MSFT,1499155,149.9155
391,34200001830251,B,100,GOOG,1486967,148.6967
392,34200001834741,S,1000,AAPL,1492403,149.2403
393,34200001838034,B,100,MSFT,1500973,150.0973
394,34200001844186,S,300,GOOG,1486974,148.6974
395,34200001845625,B,200,MSFT,1500403,150.0403
396,34200001851467,B,200,AMZN,1490905,149.0905
397,34200001853630,B,100,AAPL,1491962,149.1962
398,34200001861525,S,100,AAPL,1490669,149.0669
399,34200001862750,B,100,META,1503026,150.3026
400,34200001871959,B,500,AMZN,1491541,149.1541
401,34200001878036,S,100,NVDA,1498365,149.8365
402,34200001885437,S,100,GOOG,1487371,148.7371
403,34200001893555,S,100,GOOG,1486782,148.6782
404,34200001897432,B,100,GOOG,1486864,148.6864
405,34200001902679,B,300,GOOG,1487869,148.7869
406,34200001904159,B,100,MSFT,1500968,150.0968
407,34200001913527,B,100,META,1502646,150.2646
408,34200001918706,B,100,META,1501525,150.1525
409,34200001918812,B,100,GOOG,1489525,148.9525
410,34200001922744,B,500,TSLA,1512198,151.2198
411,34200001930563,S,200,AAPL,1487649,148.7649
412,34200001931007,B,300,META,1501239,150.1239
413,34200001936632,S,100,AAPL,1488803,148.8803
414,34200001936834,B,1000,AMZN,1493174,149.3174
415,34200001945917,S,300,AMZN,1493703,149.3703
416,34200001946226,S,200,TSLA,1513195,151.3195
417,34200001946662,S,300,AAPL,1488349,148.8349
418,34200001951564,S,100,NVDA,1499338,149.9338
419,34200001951782,S,100,NVDA,1498812,149.8812
420,34200001954173,S,1000,NVDA,1498938,149.8938
421,34200001957314,B,100,GOOG,1487303,148.7303
422,34200001963659,B,500,TSLA,1511622,151.1622
423,34200001963843,S,100,META,1500692,150.0692
424,34200001968244,B,100,AMD,1499236,149.9236
425,34200001969904,B,200,AMD,1499214,149.9214
426,34200001970131,S,100,TSLA,1513930,151.393
427,34200001978539,B,100,META,1499714,149.9714
428,34200001978670,B,100,TSLA,1513421,151.3421
429,34200001980898,B,200,TSLA,1515342,151.5342
430,34200001983404,S,1000,AAPL,1490679,149.0679
431,34200001990875,B,500,META,1501586,150.1586
432,34200001994941,B,100,AMD,1501307,150.1307
433,34200002004114,B,200,AMZN,1491326,149.1326
434,34200002004410,S,100,NVDA,1502190,150.219
435,34200002011293,S,100,MSFT,1499985,149.9985
436,34200002020524,S,300,AMD,1503854,150.3854
437,34200002026126,B,100,META,1501464,150.1464
438,34200002030939,S,300,AAPL,1491685,149.1685
439,34200002038302,B,200,MSFT,1501259,150.1259
440,34200002044512,S,100,META,1503456,150.3456
441,34200002048596,S,100,META,1504465,150.4465
442,34200002048724,S,1000,AMD,1503169,150.3169
443,34200002055306,B,200,TSLA,1514698,151.4698
444,34200002055706,S,100,MSFT,1501779,150.1779
445,34200002063187,S,300,MSFT,1501822,150.1822
446,34200002071344,B,100,GOOG,1484856,148.4856
447,34200002075216,S,300,AMD,1503319,150.3319
448,34200002075316,B,100,NVDA,1500141,150.0141
449,34200002079935,S,300,NVDA,1502465,150.2465
450,34200002084834,S,300,GOOG,1483700,148.37
451,34200002090179,S,300,META,1504571,150.4571
452,34200002092949,B,300,TSLA,1514996,151.4996
453,34200002100153,B,500,AAPL,1492113,149.2113
454,34200002104848,S,1000,META,1505052,150.5052
455,34200002107563,B,300,MSFT,1498957,149.8957
456,34200002117525,B,100,GOOG,1483501,148.3501
457,34200002121228,S,500,GOOG,1482038,148.2038
458,34200002125340,B,300,NVDA,1505679,150.5679
459,34200002127911,S,200,NVDA,1505594,150.5594
460,34200002128195,B,1000,AAPL,1489255,148.9255
461,34200002128308,S,1000,AAPL,1490037,149.0037
462,34200002131200,B,100,TSLA,1515252,151.5252
463,34200002138549,S,100,AMZN,1493192,149.3192
464,34200002138671,B,300,MSFT,1496706,149.6706
465,34200002139127,S,100,AMZN,1492608,149.2608
466,34200002143854,B,500,GOOG,1481766,148.1766
467,34200002148714,B,1000,AAPL,1489622,148.9622
468,34200002158181,B,100,AMD,1499283,149.9283
469,34200002161248,B,200,MSFT,1498939,149.8939
470,34200002164670,B,200,AAPL,1491542,149.1542
471,34200002171013,S,500,AMZN,1490788,149.0788
472,34200002171189,S,500,AMZN,1492863,149.2863
473,34200002173843,S,100,MSFT,1497628,149.7628
474,34200002182798,S,500,AMZN,1492561,149.2561
475,34200002183067,B,500,AMD,1500154,150.0154
476,34200002184398,B,200,TSLA,1515236,151.5236
477,34200002189132,B,100,META,1504577,150.4577
478,34200002196960,B,300,MSFT,1495468,149.5468
479,34200002206402,S,300,GOOG,1483555,148.3555
480,34200002206770,B,500,MSFT,1496322,149.6322
481,34200002206895,B,200,AAPL,1493546,149.3546
482,34200002216170,S,300,META,1508602,150.8602
483,34200002220079,B,1000,NVDA,1503984,150.3984
484,34200002220311,S,300,AMD,1501174,150.1174
485,34200002224999,B,200,GOOG,1481434,148.1434
486,34200002226144,B,100,TSLA,1516798,151.6798
487,34200002232148,S,200,AMD,1502514,150.2514
488,34200002236723,B,300,AMZN,1490124,149.0124
489,34200002237162,S,100,AMD,1502828,150.2828
490,34200002239933,S,200,META,1510834,151.0834
491,34200002245828,S,200,AMD,1506454,150.6454
492,34200002253448,B,100,TSLA,1518867,151.8867
493,34200002261076,S,200,META,1509317,150.9317
494,34200002265719,S,200,NVDA,1503403,150.3403
495,34200002274432,S,100,AMD,1508126,150.8126
496,34200002280931,S,100,MSFT,1496883,149.6883
497,34200002286748,S,300,GOOG,1483317,148.3317
498,34200002288914,S,100,AMD,1509681,150.9681
499,34200002292384,S,200,AMD,1510947,151.0947
500,34200002300880,S,500,MSFT,1495455,149.5455
501,34200002304777,S,300,MSFT,1494694,149.4694
502,34200002308539,S,1000,META,1511105,151.1105
503,34200002316148,B,500,MSFT,1490363,149.0363
504,34200002316350,S,100,NVDA,1503270,150.327
505,34200002316452,S,200,META,1514937,151.4937
506,34200002316748,B,200,TSLA,1517677,151.7677
507,34200002326335,B,1000,AMZN,1491708,149.1708
508,34200002335366,B,300,META,1516184,151.6184
509,34200002338515,S,100,META,1517184,151.7184
510,34200002338979,S,100,TSLA,1518366,151.8366
511,34200002340764,S,100,AAPL,1493133,149.3133
512,34200002348592,S,100,GOOG,1484215,148.4215
513,34200002349744,B,200,AMD,1508559,150.8559
514,34200002352991,B,200,AMZN,1493292,149.3292
515,34200002353145,S,200,NVDA,1503113,150.3113
516,34200002357449,B,200,AMD,1507838,150.7838
517,34200002366324,B,200,META,1515318,151.5318
518,34200002375419,B,100,META,1514804,151.4804
519,34200002383902,B,200,MSFT,1493626,149.3626
520,34200002385548,B,100,AMZN,1492581,149.2581
521,34200002387299,B,100,AMZN,1491048,149.1048
522,34200002395470,S,300,AAPL,1494159,149.4159
523,34200002403949,S,100,AMZN,1492024,149.2024
524,34200002407681,S,500,AMZN,1492069,149.2069
525,34200002416589,S,100,GOOG,1486023,148.6023
526,34200002419729,B,300,AMD,1509334,150.9334
527,34200002425877,B,100,AMD,1510583,151.0583
528,34200002432419,S,200,AAPL,1494409,149.4409
529,34200002434313,B,100,GOOG,1482840,148.284
530,34200002438022,S,1000,AAPL,1494794,149.4794
531,34200002445225,B,100,GOOG,1483051,148.3051
532,34200002453566,S,1000,NVDA,1501792,150.1792
533,34200002453877,B,100,GOOG,1483754,148.3754
534,34200002459867,S,100,AAPL,1493318,149.3318
535,34200002466306,B,200,TSLA,1516321,151.6321
536,34200002466794,S,1000,AMD,1509906,150.9906
537,34200002468544,S,300,TSLA,1518341,151.8341
538,34200002472753,B,100,MSFT,1493146,149.3146
539,34200002473065,B,300,TSLA,1519595,151.9595
540,34200002481446,S,100,AAPL,1496227,149.6227
541,34200002483241,B,100,AMD,1506452,150.6452
542,34200002487086,S,100,NVDA,1499240,149.924
543,34200002492153,S,500,MSFT,1496186,149.6186
544,34200002495338,B,200,AMZN,1491991,149.1991
545,34200002499898,S,300,MSFT,1494105,149.4105
546,34200002503071,B,300,TSLA,1520725,152.0725
